"taxa_id","Kingdom","Phylum","Class","Clade","Orders","Family","Genus","Species","common_name","RecordsWithDenominators","NeoplasiaWithDenominators","NeoplasiaPrevalence","X.","MalignancyKnown","Malignant","MalignancyPrevalence","PropMalignant","Benign","BenignPrevalence","PropBenign","X..","RecordsFromAllSources","NeoplasiaFromAllSources","Necropsies","X.Sources","X...","female_maturity.months.","male_maturity.months.","Gestation.months.","Weaning.months.","Infancy.months.","litter_size","litters_year","interbirth_interval","birth_weight.g.","weaning_weight.g.","adult_weight.g.","growth_rate.1.days.","max_longevity.months.","metabolic_rate","SE_simple"
3750,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Phrynosomatidae","Sceloporus","Sceloporus cyanogenys","Blue spiny lizard",56,2,0.035714286,"-",2,2,0.035714286,1,0,0,0,"-",56,2,56,7,"-",-1,-1,-1,-1,2.650331181,13,-1,-1,1.15,-1,35.59,-1,80.4,-1,0.133630621
4414,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Gekkonidae","Uroplatus","Uroplatus phantasticus","Satanic leaf-tailed gecko",55,2,0.036363636,"-",2,2,0.036363636,1,0,0,0,"-",55,2,55,6,"-",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.134839972
686,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Boidae","Boa","Boa constrictor","Boa constrictor",55,11,0.2,"-",17,7,0.127272727,0.764705882,4,0.072727273,0.235294118,"-",61,17,55,31,"-",35.99605523,35.99605523,4.109138725,-1,109.5,35,-1,-1,-1,-1,3532,-1,484.8,-1,0.134839972
1425,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Boidae","Corallus","Corallus caninus","Emerald tree boa",54,3,0.055555556,"-",3,2,0.037037037,0.666666667,1,0.018518519,0.333333333,"-",54,3,54,21,"-",-1,-1,-1,-1,7.357635817,8.5,-1,-1,-1,-1,-1,-1,223.2,-1,0.136082763
3288,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Phrynosomatidae","Phrynosoma","Phrynosoma asio","Giant horned lizard",51,0,0,"-",0,0,0,NA,0,0,NA,"-",51,0,51,6,"-",-1,-1,-1,-1,1,17.5,-1,-1,-1,-1,100,-1,-1,-1,0.140028008
1527,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Viperidae","Crotalus","Crotalus lepidus","Rock rattlesnake",49,2,0.040816327,"-",2,2,0.040816327,1,0,0,0,"-",49,2,49,14,"-",-1,-1,-1,-1,13.29121309,4.95,-1,-1,-1,-1,219,-1,403.2,-1,0.142857143
2871,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Pythonidae","Morelia","Morelia viridis","Green tree python",47,4,0.085106383,"-",23,2,0.042553191,0.652173913,1,0.021276596,0.347826087,"-",67,24,47,21,"-",-1,-1,1.824457594,-1,8.148779453,16,-1,-1,9.4,-1,3113,-1,247.2,-1,0.145864991
2475,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Colubridae","Lampropeltis","Lampropeltis triangulum","Milk snake",46,18,0.391304348,"-",28,16,0.347826087,0.75,2,0.043478261,0.25,"-",56,28,46,20,"-",-1,-1,-1,-1,8.939923089,-1,-1,-1,-1,-1,950,-1,271.2,-1,0.147441956
576,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Viperidae","Atheris","Atheris ceratophora","Atheris ceratophora",44,1,0.022727273,"-",1,1,0.022727273,1,0,0,0,"-",44,1,44,14,"-",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.150755672
1774,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Boidae","Epicrates","Epicrates subflavus","Jamaica boa",42,2,0.047619048,"-",2,1,0.023809524,0.5,1,0.023809524,0.5,"-",42,2,42,6,"-",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.15430335
4461,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Varanidae","Varanus","Varanus prasinus","Emerald monitor",41,4,0.097560976,"-",9,2,0.048780488,0.777777778,2,0.048780488,0.222222222,"-",46,9,41,13,"-",-1,-1,-1,-1,5.617119817,4.1,1.4,-1,8.6,-1,237.5,-1,170.4,-1,0.156173762
3734,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Iguanidae","Sauromalus","Sauromalus ater","Sauromalus obesus",41,3,0.073170732,"-",3,2,0.048780488,0.666666667,1,0.024390244,0.333333333,"-",41,3,41,15,"-",30.01725838,24.01380671,1.150558843,-1,82.18125,7.7,-1,-1,6.805,-1,230.39,-1,111.6,-1,0.156173762
1930,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Chamaeleonidae","Furcifer","Furcifer pardalis","Reunion chameleon",41,4,0.097560976,"-",4,4,0.097560976,1,0,0,0,"-",41,4,41,12,"-",-1,-1,-1,-1,2.056973454,24,-1,-1,-1,-1,-1,-1,62.4,-1,0.156173762
2027,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Agamidae","Gonocephalus","Gonocephalus chamaeleontinus","Chameleon forest dragon",40,0,0,"-",9,0,0,0.333333333,0,0,0.666666667,"-",49,9,40,10,"-",-1,-1,-1,-1,17.19946265,-1,4.6,-1,-1,0.58,-1,-1,521.76,-1,0.158113883
1822,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Gekkonidae","Eublepharis","Eublepharis macularius","Leopard gecko",38,7,0.184210526,"-",12,6,0.157894737,0.916666667,1,0.026315789,0.083333333,"-",43,12,38,22,"-",13.14924392,13.14924392,1.808021039,-1,40,-1,2.25,-1,1.87,-1,35.53,-1,342,-1,0.162221421
3959,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Agamidae","Stellagama","Stellagama stellio","Hardun sling-tailed agama",38,2,0.052631579,"-",2,2,0.052631579,1,0,0,0,"-",38,2,38,2,"-",-1,-1,-1,-1,1,7.7,-1,-1,0.71,-1,40.605,-1,-1,-1,0.162221421
679,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Viperidae","Bitis","Bitis gabonica","Gaboon viper",35,4,0.114285714,"-",4,3,0.085714286,0.75,1,0.028571429,0.25,"-",35,4,35,10,"-",-1,-1,-1,-1,7.120292726,156,-1,-1,-1,-1,2381,-1,216,-1,0.169030851
